Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Days;CLASS;LOTSTART;AGE;LTD Day Degrees;Period Mortality %
REGION-1;SITE-1;274_123-0-0;500_‘”_0514_30;‘”…–œ’—¡;2,85;3,03;HATCHERY-5;;2014;May;9/1/2015;27/1/2015;148,28;158;155,71;1,47;155,63;148,28;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;787;0;0;59918;8884,64104;59788;9446,504;0;0;0;561,86296;420,1654;1,4006974227;1,8730718903;150;0;0;0,48;0,48;0,35;787;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;15,8;0;0;1;0;1;15212,62;20,2833256578;1,293258304;268;100-150;150-200;18;GOOD;1/5/2014;271;4281,8;0,2503421343
REGION-1;SITE-1;274_123-0-0;500_‘”_0514_30;‘”…–œ’—¡;3,03;2,86;HATCHERY-5;;2014;May;27/1/2015;26/2/2015;158;150;168,22;-10,83;167,96;158;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;1159;0;0;59788;9446,504;59518;8927,7;0;0;0;-518,804;550,13928;-2,2339843178;2,1067392243;270;0;0;0,42;0,4;-0,17;1159;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;14,99;0;0;0;0;3;15482,62;20,6433226819;1,5003511325;420;150-200;150-200;30;BAD;1/5/2014;301;4511,99;0,4515956379
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;0,62;1;HATCHERY-5;;2014;May;30/6/2014;30/7/2014;8,95;23;25,23;-8,84;17,31;8,95;LINE-2 1,6 mm;LINE-2;SUPPLIER-1;1575;0;0;83200;744,64;78800;1812,4;0;0;0;1067,76;619,388;1,4750505732;2,5428326025;4400;0;0;4,37;5,13;3,15;1137;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;25,84;0;0;1;0;1;19200;19,5918367347;1,6396740771;779;0-20;20-50;30;BAD;1/5/2014;90;2325,6;5,2884615385
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;1;1,42;HATCHERY-5;;2014;May;30/7/2014;29/8/2014;23;41;41,31;-0,75;30,74;23;LINE-2 2,5 mm;LINE-2;SUPPLIER-1;2054;0;0;78800;1812,4;76470;3135,27;0;0;0;1322,87;538,2878;1,5526846931;3,8158026245;2330;0;0;2,84;3,31;1,93;1783;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;27,61;0;0;0;0;2;21530;21,9693877551;1,5576377769;856;20-50;20-50;30;BAD;1/5/2014;120;3313,2;2,9568527919
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;1,46;2,57;HATCHERY-5;;2014;May;31/8/2014;29/9/2014;42,3;75;69,28;8,26;42,73;42,3;LINE-2 2,5 mm;LINE-2;SUPPLIER-1;3025;0;0;76470;3234,681;75790;5684,25;0;0;0;2449,569;3,8257;1,2349111211;790,7049690253;680;0;0;2,4;3,22;1,97;1650;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;27,39;0;0;0;0;2;22210;22,6632653061;1,3787646811;825;20-50;50-100;29;GOOD;1/5/2014;151;4135,89;0,8892376095
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;2,61;4,52;HATCHERY-5;;2014;May;30/9/2014;30/10/2014;76,25;121;115,26;4,98;98,29;76,25;BL 3.5 BREAM;LINE-2;SUPPLIER-1;3899;0;0;75790;5778,9875;75090;9085,89;0;0;0;3306,9025;1601,6086;1,1790489741;2,4344274875;700;0;0;1,78;1,99;1,54;3636;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;23,9;0;0;0;0;2;22910;23,3775510204;1,2830824944;694;50-100;100-150;30;GOOD;1/5/2014;182;4349,8;0,9236046972
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;4,52;5,9;HATCHERY-5;;2014;May;30/10/2014;26/11/2014;121;159;153,28;3,73;137,66;121;LINE-2 5,0 mm;LINE-2;SUPPLIER-1;3588;0;0;75090;9085,89;74660;11870,94;0;0;0;2785,05;1191,8056;1,2883072117;3,0105580977;430;0;0;1,28;1,37;1,01;1763;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;20,58;0;0;0;0;2;23340;23,8163265306;1,2730895062;575;100-150;150-200;27;GOOD;1/5/2014;209;4301,22;0,5726461579
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;5,9;6,81;HATCHERY-5;;2014;May;26/11/2014;24/12/2014;159;184;182,9;0,6;175,69;159;LINE-2 5,0 mm;LINE-2;SUPPLIER-1;2865;0;0;74660;11870,94;74455;13699,72;0;0;0;1828,78;1210,05895;1,5666181826;2,3676532453;220;0;0;0,8;0,82;0,52;2865;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;18,89;0;0;0;0;2;23545;24,0255102041;1,3059895571;507;150-200;150-200;28;GOOD;1/5/2014;237;4476,93;0,2946691669
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;6,95;7,46;HATCHERY-5;;2014;May;31/12/2014;27/1/2015;187,78;202;201,93;0,03;201,2;187,78;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;1873;0;0;74415;13973,6487;74225;14993,45;0;0;0;1019,8013;960,4213;1,836632293;1,9501858195;190;0;0;0,48;0,48;0,27;1873;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;16,1;0;0;0;0;2;23775;24,2602040816;1,3453825885;419;150-200;200-250;27;GOOD;1/5/2014;271;4363,1;0,2553248673
REGION-1;SITE-1;274_125-0-0;500_‘”_0514_30;‘”…–œ’—¡;7,46;8,09;HATCHERY-5;;2014;May;27/1/2015;26/2/2015;202;220;214,62;2,51;214,13;202;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;1927;0;0;74225;14993,45;73955;16270,1;0;0;0;1276,65;842,53415;1,509419183;2,2871476486;270;0;0;0,41;0,42;0,28;1927;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;14,99;0;0;0;0;3;24045;24,5357142857;1,3540817251;420;200-250;200-250;30;GOOD;1/5/2014;301;4511,99;0,3637588414
