Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;CLASS;LOTSTART;AGE
REGION-1;SITE-2;119_Β2;119_ΤΣ_0714_107;ΤΣΙΠΟΥΡΑ;0.31;1.21;HATCH-2;;2014;July;7/4/2014;8/31/2014;2.8;19.7;19.22;2.5;11.14;2.8;BLUELINE 1,6 mm;ΒLUE LINE;FEEDUS;1583;0;0;88000;246.4;81680;1609.096;0;0;0;1362.696;663.5152;1.1616677527;2.38577805;6320;0;0;3.76;5.37;3.36;664;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;22.8;0;0;0;0;1;6320;7.1818181818;1.1616677527;1319;0-20;0-20;GOOD;7/1/2014;61
REGION-1;SITE-2;119_Β2;119_ΤΣ_0714_107;ΤΣΙΠΟΥΡΑ;1.21;2.48;HATCH-2;;2014;July;8/31/2014;9/30/2014;19.7;40.9;41.03;-0.32;20.27;19.7;BLUELINE 2,5 mm;ΒLUE LINE;FEEDUS;2050;0;0;81680;1609.096;80495;3292.2455;0;0;0;1683.1495;22.53765;1.2179547925;90.9589065408;1185;0;0;2.91;4.22;2.44;1420;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;24.12;0;0;0;0;2;7505;8.5284090909;1.1763564501;747;0-20;20-50;BAD;7/1/2014;91
REGION-1;SITE-2;119_Β2;119_ΤΣ_0714_107;ΤΣΙΠΟΥΡΑ;2.48;5.14;HATCH-2;;2014;July;9/30/2014;12/19/2014;40.9;86.45;95.08;-9.08;82.84;40.9;BLUELINE 2,5 mm;ΒLUE LINE;FEEDUS;5730;0;0;80495;3292.2455;78935;6823.93075;0;0;0;3531.68525;3246.7299;1.6224548889;1.7648526907;1560;0;0;1.48;1.51;0.94;2925;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;22.59;0;0;0;0;2;9065;10.3011363636;1.4143605486;1593;20-50;50-100;BAD;7/1/2014;171
REGION-1;SITE-2;119_Β2;119_ΤΣ_0714_107;ΤΣΙΠΟΥΡΑ;5.14;5.42;HATCH-2;;2014;July;12/19/2014;12/31/2014;86.45;91.35;91.2;0.16;89.67;86.45;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;570;0;0;78935;6823.93075;78765;7195.18275;0;0;0;371.252;238.9268;1.5353452641;2.3856679117;170;0;0;0.68;0.68;0.46;570;0;-;ΤΣΙΠΟΥΡΑ 2014;;Unchecked;;0;0;17.17;0;0;0;0;2;9235;10.4943181818;1.4208243883;157;50-100;50-100;GOOD;7/1/2014;183
REGION-1;SITE-2;119_51;119_ΤΣ_0914_109;ΤΣΙΠΟΥΡΑ;1.01;1.22;HATCH-1;;2014;September;2/7/2015;2/12/2015;35;38.78;35.41;9.52;35.41;35;BLUELINE 2,5 mm;ΒLUE LINE;FEEDUS;45;0;0;69700;2439.5;69575;2698.1185;0;0;0;258.6185;24.15075;0.1740014732;1.8632961709;125;0;0;0.35;0.37;2.05;45;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.85;0;0;1;0;1;13008.23;13.5404523751;2.3150411678;60;20-50;20-50;GOOD;9/1/2014;164
REGION-1;SITE-2;119_51;119_ΤΣ_0914_109;ΤΣΙΠΟΥΡΑ;1.22;1.52;HATCH-1;;2014;September;2/12/2015;3/31/2015;38.78;49.1;47.75;2.83;47.7;38.78;BLUELINE 2,5 mm;ΒLUE LINE;FEEDUS;1015;0;0;69575;2698.1185;68570;3366.787;0;0;0;668.6685;572.6705;1.5179419997;1.7723979147;1005;0;0;0.72;0.73;0.5;575;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.26;0;0;0;0;3;14013.23;14.5865712273;2.1121543994;672;20-50;20-50;GOOD;9/1/2014;211
REGION-1;SITE-1;121_Τ5;121_ΤΣ_0314_102;ΤΣΙΠΟΥΡΑ;4.16;4.13;HATCH-1;;2014;March;2/20/2015;3/31/2015;151.52;151.23;163.04;-7.24;163.08;151.52;SILVERLINE 5,0 mm;SILVER LINE;FEEDUS;935;0;0;40100;6075.952;39920;6037.1016;0;0;0;-38.8504;434.2016;-24.0666762762;2.1533776016;180;0;0;0.4;0.38;0;935;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;13.86;0;0;1;0;2;3956.7;9.0872949433;1.8456140932;546;150-200;150-200;BAD;3/1/2014;395
REGION-1;SITE-1;121_Τ6;121_ΤΣ_0314_102;ΤΣΙΠΟΥΡΑ;5.29;6.43;HATCH-1;;2014;March;12/17/2014;12/18/2014;104.24;126.72;105.02;20.66;105.04;104.24;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;100;0;0;80800;8422.592;80800;10238.976;0;0;0;1816.384;64.64;0.0550544378;1.547029703;0;0;0;1.08;1.18;19.53;100;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;17.55;0;0;1;0;1;6969.82;8.0022439009;1.6519571943;36;100-150;100-150;GOOD;3/1/2014;292
REGION-1;SITE-1;121_Τ6;121_ΤΣ_0314_102;ΤΣΙΠΟΥΡΑ;6.43;6.85;HATCH-1;;2014;March;12/18/2014;12/31/2014;126.72;135.34;135.21;0.1;130.64;126.72;BL 3.5 BREAM;ΒLUE LINE;FEEDUS;1125;0;0;80800;10238.976;80670;10917.8778;0;0;0;678.9018;299.7528;1.6570879618;3.7530925483;130;0;0;0.82;0.83;0.51;725;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;16.88;0;0;0;0;2;7099.82;8.1515005111;1.6499495809;219;100-150;100-150;GOOD;3/1/2014;305
REGION-1;SITE-1;121_Τ6;121_ΤΣ_0314_102;ΤΣΙΠΟΥΡΑ;6.85;3.86;HATCH-1;;2014;March;12/31/2014;3/31/2015;135.34;154.01;161.61;-4.7;160.98;135.34;SILVERLINE 5,0 mm;SILVER LINE;FEEDUS;3235;0;0;80670;10917.8778;39920;6148.0792;0;6075.95;0;1306.1514;1584.3938;2.4767419765;2.041790368;650;0;0;-1.58;-1.2;0.14;3055;0;Β;ΤΣΙΠΟΥΡΑ 2015;;Unchecked;;0;0;14.37;0;1;0;0;4;3973.11;9.1215708963;1.7842691558;1269;100-150;150-200;BAD;3/1/2014;395
